,After Tax Income Range,geometry,Lead Infrastructure Count,GLOBALID,Low Income - 0 to 17 years old,Low Income - 18 to 64 years old,Low Income - 65 years old and over ,Median after-tax income of households in 2015,Total private dwellings,% Replaced Since Dec 2019,Averge Low Income 0 to 17 years old per Dwelling,Averge Low Income Individual per Dwelling
0,$24640 - $40264,"MULTIPOLYGON (((-104.6064156952712 50.44244870811249, -104.6064362723052 50.44081133575319, -104.6079642474724 50.440822546529, -104.6094006354668 50.44083130299844, -104.6108521492732 50.4408235055997, -104.6123061209143 50.44083094103964, -104.6137110683566 50.44083146082334, -104.6152440607954 50.44082810188334, -104.6166423273596 50.44084272765428, -104.6180916513695 50.44080849470792, -104.6180850105972 50.44245914188635, -104.6180822460006 50.44316704366341, -104.6180821301111 50.44319728302935, -104.618081507777 50.4433478265957, -104.6180813734185 50.4433791750626, -104.6180787695893 50.44404971909789, -104.6180897155149 50.44554674220936, -104.618080619733 50.44718192355587, -104.6180801986218 50.44731170471358, -104.618074746624 50.44885888399357, -104.6180833731883 50.45017901950017, -104.6180804706211 50.45041927269486, -104.6180586897643 50.45103295081272, -104.6180718103862 50.45159899092936, -104.618073350476 50.45166503881242, -104.618073381177 50.45166811794839, -104.6179758273958 50.45168554405965, -104.6177782508573 50.45172988668295, -104.6133065276486 50.45252450026935, -104.6122908974305 50.45270100579564, -104.6117266489657 50.45279804767344, -104.6064642426107 50.45372096122848, -104.6057113750848 50.45385297943179, -104.6038268264242 50.45418337183929, -104.6020389355628 50.45449666934371, -104.6017190564945 50.45455273807608, -104.597739029134 50.45525001721843, -104.5961240121304 50.4555329025748, -104.5951367275445 50.45570928657183, -104.595136577453 50.45568335133189, -104.595144034965 50.45481900509967, -104.5951563688756 50.45337112071839, -104.5951491248576 50.45276527794064, -104.5951404121047 50.45194110934318, -104.5951251590506 50.45043017366251, -104.5951104163777 50.44885628394031, -104.5950823449186 50.44719730842425, -104.5953654027966 50.44719827541517, -104.5961952474998 50.44720111921753, -104.597685205827 50.44719378105898, -104.5990791354405 50.4471910882887, -104.6005475430007 50.44719263865396, -104.6019859286685 50.44718656919243, -104.6034502595357 50.44719342704347, -104.6049019847159 50.44719072494217, -104.6063976916523 50.44719381527042, -104.6064246042604 50.44555894222089, -104.6064297628714 50.44399622451178, -104.6064156952712 50.44244870811249)), ((-104.6184695388409 50.45159724605126, -104.6199649812306 50.45130536608895, -104.6205715193658 50.45119941198939, -104.6213315262058 50.45113902157605, -104.6232191557994 50.45081342500981, -104.6252448663276 50.45046385559574, -104.6275658753985 50.45006327622406, -104.6277785029444 50.45002657626541, -104.628591531711 50.44987367605422, -104.6300354807207 50.44960207155482, -104.6309388088681 50.44936213415239, -104.6311441219952 50.44932956487028, -104.6311470105265 50.44975849683996, -104.6311583031357 50.45192592246636, -104.6311604560857 50.45346382331227, -104.6311614447099 50.455105344888, -104.6311769608892 50.45677342395489, -104.6311793407506 50.45828433491959, -104.6311811071864 50.45986717247295, -104.6311831076419 50.46142302847208, -104.6311850687043 50.46297889776523, -104.6311983408418 50.46456638055985, -104.6312026540107 50.46615361207902, -104.6312045747863 50.4677184455824, -104.6311955032127 50.46954353890523, -104.6311970180383 50.46955878579171, -104.6306125196231 50.46956021724203, -104.6245113408302 50.46952270142323, -104.6222708943296 50.46951546308098, -104.6218340659859 50.46951402429423, -104.6209814391893 50.46951442155418, -104.6195857554993 50.46951638977018, -104.6181081835978 50.46951844369971, -104.6181066775582 50.46847439966437, -104.6180976401211 50.46776243415033, -104.6180936120698 50.466499863189, -104.6181182593853 50.46598526401484, -104.6181145117529 50.46550454875031, -104.6181069398927 50.46454858553756, -104.6181076479063 50.46297993550023, -104.6180918976868 50.46142715816377, -104.6181072015234 50.45988751617443, -104.6180768497994 50.45830573828635, -104.6180932001111 50.45678418586298, -104.6180907326223 50.45512454805453, -104.6180841390131 50.45345805006318, -104.6180774120252 50.45207137932925, -104.618073381177 50.45166811794839, -104.6181733042769 50.45165022620642, -104.6184695388409 50.45159724605126)))",993,69,2075.0,6985.0,1945.0,131216.0,7233.0,~6.5%,0.29,1.5214986865754183
1,$40264 - $50322,"MULTIPOLYGON (((-104.595066760998 50.44241685927346, -104.595052047087 50.44084295633751, -104.5962301344158 50.44079469368292, -104.5976300309029 50.44079590993037, -104.5990648834209 50.44080258989191, -104.6005827838514 50.44079558895542, -104.6020084586148 50.44081047743255, -104.6034243967155 50.44081301143314, -104.6048733816125 50.44082122789192, -104.6064362723052 50.44081133575319, -104.6064156952712 50.44244870811249, -104.6064297628714 50.44399622451178, -104.6064246042604 50.44555894222089, -104.6063976916523 50.44719381527042, -104.6049019847159 50.44719072494217, -104.6034502595357 50.44719342704347, -104.6019859286685 50.44718656919243, -104.6005475430007 50.44719263865396, -104.5990791354405 50.4471910882887, -104.597685205827 50.44719378105898, -104.5961952474998 50.44720111921753, -104.5953654027966 50.44719827541517, -104.5950823449186 50.44719730842425, -104.5950682296027 50.44554654753116, -104.5950681266537 50.44536578029436, -104.595067349742 50.44399968804568, -104.595066760998 50.44241685927346)), ((-104.6311441219952 50.44932956487028, -104.6337734018947 50.44891242453949, -104.6361138130077 50.44861398901892, -104.64317093291 50.4479306809766, -104.6506034940072 50.44721044166103, -104.650630272948 50.44720809113318, -104.6508550791099 50.44718828007528, -104.6508994330092 50.44718435463904, -104.6638988652631 50.44588834095263, -104.686878739041 50.44359292830001, -104.6936453817698 50.44291597939944, -104.6979666008754 50.44248332958284, -104.697966919002 50.44363418761879, -104.7039099001316 50.44339023991137, -104.7039220850031 50.44386188010331, -104.7057458095642 50.44377147258461, -104.7056711435425 50.44455023131709, -104.7072726383716 50.44448883904168, -104.7072960026464 50.44528436709071, -104.7096743107511 50.44521511891292, -104.7096818923557 50.45513411559477, -104.7210784959575 50.45514450811788, -104.721058947987 50.45407171609286, -104.7209479065583 50.44803063053144, -104.7209153376036 50.44270578993628, -104.720883815182 50.44238239897869, -104.7208809097328 50.44237553029534, -104.7209019987937 50.44019499429304, -104.7554745636758 50.43673097522921, -104.7783835268656 50.43440575375359, -104.7783976610133 50.45512336759376, -104.7783521532406 50.46955409952665, -104.7725303322376 50.46954986423865, -104.7582165437411 50.46953806061641, -104.7554593528343 50.4695355419102, -104.7554840486234 50.474529541839, -104.7554760991969 50.47480449193558, -104.7555705547202 50.48414457080688, -104.7328175925011 50.48423802393802, -104.7211252637883 50.48425185324672, -104.7098276417755 50.48426392799598, -104.7098090619733 50.47842113279761, -104.7097657227479 50.47722889762633, -104.709733416513 50.47634006989193, -104.70974436823 50.46953722827401, -104.7097444807098 50.46946907086367, -104.7090868064006 50.46946802840795, -104.7066490375277 50.46947090756832, -104.6911346672533 50.46947574593712, -104.687394701856 50.46949819569363, -104.6871745731214 50.46740443789177, -104.6870999010278 50.46669403050815, -104.6868461686018 50.46239086621102, -104.6868449026654 50.46236949663361, -104.6868473485245 50.46148717885877, -104.6868552071178 50.4610166359456, -104.6879608315903 50.46099638265774, -104.6884348219495 50.45625388816941, -104.6868959863423 50.45628267753898, -104.6868970712368 50.45609128443216, -104.6868750615668 50.45515592819075, -104.6796659513125 50.45522206848842, -104.6783580238314 50.45522597621717, -104.6769457052781 50.45521197729855, -104.6755240083337 50.45519625521211, -104.67401767556 50.45518940735771, -104.6726942019259 50.45519355350465, -104.6711853483459 50.45521274152576, -104.6696974822906 50.45520561002776, -104.6682600975922 50.45522000287125, -104.6668380726018 50.45521371442924, -104.666036968918 50.45520115790986, -104.6642197062986 50.45519548956009, -104.6640105840347 50.45519644294923, -104.6622799895804 50.45520422842973, -104.6610946528171 50.45520591750538, -104.6596892354642 50.45520266268909, -104.6582220788189 50.45521482921565, -104.6567887321529 50.45521197950841, -104.6553387993814 50.45522594705738, -104.6538960413549 50.45522396400377, -104.6524715906294 50.45522021099642, -104.6520066093178 50.4552215326007, -104.6510672980326 50.45521790059061, -104.6495988512402 50.45521542813125, -104.6481625111258 50.45522040737657, -104.647352157183 50.45521659978509, -104.6466895578951 50.45521347079799, -104.64528291653 50.45521807824579, -104.6438451853444 50.45521242363907, -104.6435947050342 50.45520403142216, -104.6434331789155 50.45520041446971, -104.6434509550257 50.45687477336521, -104.6434673774181 50.45842128888333, -104.6434813417511 50.4629600282415, -104.6434958942917 50.46383956930252, -104.6434974556992 50.46455413372997, -104.6434995216281 50.46549665663478, -104.6434995484991 50.4654986824677, -104.6435101339924 50.46612038927725, -104.6435057758539 50.46613753290868, -104.6435056517221 50.46613804982472, -104.6434521506091 50.46634867403901, -104.6432086336514 50.46688433423904, -104.6428989932857 50.46732949230276, -104.6425733385662 50.46785908968364, -104.6422061191447 50.46835977275844, -104.642038396364 50.46867669093182, -104.6417374630016 50.46970677101145, -104.6410253639407 50.46962877912223, -104.6401947092817 50.46953627262761, -104.6311970180383 50.46955878579171, -104.6311955032127 50.46954353890523, -104.6312045747863 50.4677184455824, -104.6312026540107 50.46615361207902, -104.6311983408418 50.46456638055985, -104.6311850687043 50.46297889776523, -104.6311831076419 50.46142302847208, -104.6311811071864 50.45986717247295, -104.6311793407506 50.45828433491959, -104.6311769608892 50.45677342395489, -104.6311614447099 50.455105344888, -104.6311604560857 50.45346382331227, -104.6311583031357 50.45192592246636, -104.6311470105265 50.44975849683996, -104.6311441219952 50.44932956487028)))",437,72,1760.0,5415.0,1065.0,133030.0,4504.0,~14.1%,0.39,1.8294849023090587
2,$50322 - $60709,"MULTIPOLYGON (((-104.6434509550257 50.45687477336521, -104.6434331789155 50.45520041446971, -104.6435947050342 50.45520403142216, -104.6438451853444 50.45521242363907, -104.64528291653 50.45521807824579, -104.6466895578951 50.45521347079799, -104.647352157183 50.45521659978509, -104.6481625111258 50.45522040737657, -104.6495988512402 50.45521542813125, -104.6510672980326 50.45521790059061, -104.6520066093178 50.4552215326007, -104.6524715906294 50.45522021099642, -104.6538960413549 50.45522396400377, -104.6553387993814 50.45522594705738, -104.6567887321529 50.45521197950841, -104.6582220788189 50.45521482921565, -104.6596892354642 50.45520266268909, -104.6610946528171 50.45520591750538, -104.6622799895804 50.45520422842973, -104.6623952354714 50.45616132412798, -104.6639394801042 50.45783785526169, -104.6639746395131 50.45844658036673, -104.6639639924012 50.4599484424355, -104.6639670509715 50.46150432378966, -104.6639596862282 50.46254751588041, -104.6639566643738 50.46297019082475, -104.6611388787342 50.46296202014334, -104.6596736628522 50.4629577631186, -104.6567571692324 50.46295817686026, -104.6553482814651 50.46295401235207, -104.6546416951634 50.46295258349644, -104.654257756105 50.46295132064537, -104.6524882313976 50.46294550852638, -104.651079292228 50.46295030394195, -104.6495716940763 50.46295475757358, -104.6481346235596 50.46295041355619, -104.6466834083272 50.46295502994683, -104.6455873867902 50.46295688484074, -104.6442237707241 50.46296064607566, -104.6437946299371 50.46296234564302, -104.6434813417511 50.4629600282415, -104.6434673774181 50.45842128888333, -104.6434509550257 50.45687477336521)), ((-104.5723100832465 50.44185635605296, -104.5700889421376 50.44069040470099, -104.569345893974 50.44030030999568, -104.5693062083553 50.44027948861392, -104.5686014938596 50.43993596910342, -104.5632365010449 50.43725821755628, -104.5632460038708 50.4372455030863, -104.5634508188648 50.43705356267454, -104.572054463899 50.42812338090819, -104.5725711715174 50.42749608188681, -104.5735361645335 50.42803139010583, -104.5745092173303 50.42859515804523, -104.5750767213211 50.42893638205787, -104.5757291822778 50.42875105112203, -104.5796930642536 50.43127300619476, -104.5835471705308 50.43113422850092, -104.5835429747815 50.43161104260972, -104.5835321705725 50.43296155908084, -104.5835527034936 50.43316071911251, -104.5842302569009 50.43316847645942, -104.584767975447 50.43321627690928, -104.5849806642428 50.43327661333848, -104.5851284328468 50.43332085018366, -104.5852327561091 50.43335205702438, -104.5855001299883 50.43347942823292, -104.5856825798036 50.43356106702459, -104.5858342047609 50.43366073897651, -104.5868964850196 50.43422057891954, -104.587289250119 50.43437568747266, -104.5875709748027 50.43443735754507, -104.5878125497061 50.43446818188752, -104.5880659912195 50.43446906678408, -104.5893613867131 50.43447365181737, -104.5908117645322 50.43446976904898, -104.5922479472463 50.43447481754647, -104.5929723433328 50.43447289459549, -104.5937124066595 50.43447093937299, -104.5950362915889 50.43447552816431, -104.5950366032419 50.43604939188579, -104.5950452109136 50.43668795855123, -104.5950505557083 50.43771324181817, -104.5950515236649 50.43925112485685, -104.595052047087 50.44084295633751, -104.595066760998 50.44241685927346, -104.595067349742 50.44399968804568, -104.5950681266537 50.44536578029436, -104.5950682296027 50.44554654753116, -104.5950823449186 50.44719730842425, -104.5951104163777 50.44885628394031, -104.5951251590506 50.45043017366251, -104.5951404121047 50.45194110934318, -104.5951491248576 50.45276527794064, -104.595147433236 50.45276852719917, -104.5947405558941 50.45257824564504, -104.5938001335128 50.45218825847972, -104.5936598048316 50.45212482431813, -104.5931128732546 50.45184411326021, -104.5908402419327 50.450765917129, -104.5894224116759 50.45021234152409, -104.5886360366637 50.44993075332422, -104.5874978292201 50.44962094713955, -104.5851078240549 50.44910882808805, -104.5838983572236 50.44889766194581, -104.582152147735 50.44862049407134, -104.5793556800966 50.44817090429559, -104.5738134025626 50.44733228342358, -104.5722580082914 50.44711573478791, -104.5722616392696 50.4455414430912, -104.5722816553604 50.44394153993924, -104.5723062155556 50.44243224404826, -104.5723104825013 50.44187427292835, -104.5723100832465 50.44185635605296)), ((-104.6180718103862 50.45159899092936, -104.6180586897643 50.45103295081272, -104.6180804706211 50.45041927269486, -104.6180833731883 50.45017901950017, -104.618074746624 50.44885888399357, -104.6180801986218 50.44731170471358, -104.618080619733 50.44718192355587, -104.6180897155149 50.44554674220936, -104.6180787695893 50.44404971909789, -104.6180813734185 50.4433791750626, -104.618081507777 50.4433478265957, -104.6180821301111 50.44319728302935, -104.6180822460006 50.44316704366341, -104.6180850105972 50.44245914188635, -104.6180916513695 50.44080849470792, -104.6180865441235 50.44035284559425, -104.6180897076052 50.43920142121493, -104.6180944758462 50.43745037722885, -104.6180933633639 50.43622626566417, -104.6180931620377 50.43596576813609, -104.6180931360394 50.4359652972412, -104.618093149549 50.4359648211728, -104.6180933363547 50.43594271554633, -104.6183023076838 50.43605411700823, -104.6182564500081 50.43606494338842, -104.6182819388666 50.43639778413635, -104.6196056753577 50.43638412960012, -104.6209867075122 50.43625374464055, -104.6213958204391 50.43615612998588, -104.6225034946601 50.43584031260776, -104.6233293535082 50.43560481387653, -104.6241606092338 50.43554454921502, -104.6258225462684 50.43549595753407, -104.6262589747129 50.43550634239645, -104.626736821716 50.43562478631574, -104.6271298673265 50.43577893303508, -104.6273958383619 50.43597764686228, -104.627577553504 50.43614912132371, -104.6277446474371 50.43639245658868, -104.6278126926711 50.43668947443348, -104.6284729053301 50.43869710857261, -104.6286545637638 50.43887755157309, -104.629327294772 50.43928439040069, -104.6297765979974 50.43945670886799, -104.6300155581757 50.43951141622976, -104.6306910732602 50.43956754495251, -104.6311121449262 50.43956517893, -104.6311172716316 50.44089990580998, -104.6311193909024 50.44243777987768, -104.6311353761523 50.44401167584846, -104.6311361727575 50.44554204323232, -104.6311358944689 50.44717799325489, -104.6311407016038 50.44876021817083, -104.6311421074695 50.44899807637759, -104.6311441051643 50.44932938258956, -104.6311441219952 50.44932956487028, -104.6309388088681 50.44936213415239, -104.6300354807207 50.44960207155482, -104.628591531711 50.44987367605422, -104.6277785029444 50.45002657626541, -104.6275658753985 50.45006327622406, -104.6252448663276 50.45046385559574, -104.6232191557994 50.45081342500981, -104.6213315262058 50.45113902157605, -104.6205715193658 50.45119941198939, -104.6199649812306 50.45130536608895, -104.6184695388409 50.45159724605126, -104.6181733042769 50.45165022620642, -104.618073381177 50.45166811794839, -104.618073350476 50.45166503881242, -104.6180718103862 50.45159899092936)))",1126,187,3635.0,12810.0,2040.0,235830.0,9154.0,~14.2%,0.4,2.0193358094821936
3,$60709 - $81899,"MULTIPOLYGON (((-104.5688745174405 50.46561788663715, -104.5671841901377 50.46577226529547, -104.5675614205683 50.46620740247079, -104.5674440253207 50.46621289662512, -104.5669086405267 50.46621090997503, -104.5648233469659 50.46621237576991, -104.558790153975 50.46621632801548, -104.5567781597984 50.46621641075137, -104.549199207796 50.46621638736923, -104.5491474921433 50.46376589309929, -104.5491472301161 50.46375567798263, -104.5630225180766 50.46132198280516, -104.5634881799718 50.46124277141056, -104.5637421947184 50.46119876911813, -104.5638532759535 50.46117952271377, -104.5639961612612 50.46115474596485, -104.5643348007836 50.46110205238153, -104.5661829214398 50.46077616026675, -104.5694289723491 50.46020369489482, -104.5722738393709 50.45970601719377, -104.5757222523752 50.45910264092048, -104.5849501128684 50.45747212903427, -104.5907961892773 50.45647868537796, -104.5914822383593 50.45636208099499, -104.5945156970256 50.4558151021137, -104.5949953314672 50.45573581682542, -104.5951367275445 50.45570928657183, -104.5961240121304 50.4555329025748, -104.597739029134 50.45525001721843, -104.6017190564945 50.45455273807608, -104.6020389355628 50.45449666934371, -104.6038268264242 50.45418337183929, -104.6057113750848 50.45385297943179, -104.6064642426107 50.45372096122848, -104.6117266489657 50.45279804767344, -104.6122908974305 50.45270100579564, -104.6133065276486 50.45252450026935, -104.6177782508573 50.45172988668295, -104.6179758273958 50.45168554405965, -104.618073381177 50.45166811794839, -104.6180774120252 50.45207137932925, -104.6180841390131 50.45345805006318, -104.6180907326223 50.45512454805453, -104.6180932001111 50.45678418586298, -104.6180768497994 50.45830573828635, -104.6181072015234 50.45988751617443, -104.6180918976868 50.46142715816377, -104.6181076479063 50.46297993550023, -104.6181069398927 50.46454858553756, -104.6181145117529 50.46550454875031, -104.6181182593853 50.46598526401484, -104.6180936120698 50.466499863189, -104.6180976401211 50.46776243415033, -104.6181066775582 50.46847439966437, -104.6181081835978 50.46951844369971, -104.6064348640042 50.46951611298372, -104.6061928330284 50.46951613962365, -104.6037128004719 50.46951670553679, -104.6015850234049 50.46951844027756, -104.6008522927252 50.46951591707057, -104.6003731912169 50.46951427261057, -104.6002322827155 50.46951378490349, -104.5991191249404 50.4695099726641, -104.5990562970064 50.46950975498618, -104.5988804975449 50.46950977802929, -104.597212311326 50.46951014286003, -104.5951762878774 50.46956413174455, -104.5951762710323 50.46932918703292, -104.5951766023725 50.4675087863025, -104.5951809817341 50.46699445468027, -104.5951758560047 50.46594392849286, -104.595178939097 50.46522778857661, -104.5938112460894 50.46522399916624, -104.5925591682996 50.46533083951815, -104.5909330196513 50.46547848652249, -104.5897989633138 50.46554801368445, -104.5879708980489 50.4655593160403, -104.5865626267852 50.46554844958725, -104.5851013851351 50.46554014674274, -104.583611760073 50.46553760162276, -104.5805825237075 50.46553324329927, -104.5767703803368 50.46553061268337, -104.5750109010888 50.46552885856337, -104.5722372016099 50.46554338902074, -104.569855019836 50.46553458331561, -104.5688745174405 50.46561788663715)), ((-104.6361138130077 50.44861398901892, -104.6337734018947 50.44891242453949, -104.6311441219952 50.44932956487028, -104.6311441051643 50.44932938258956, -104.6311421074695 50.44899807637759, -104.6311407016038 50.44876021817083, -104.6311358944689 50.44717799325489, -104.6311361727575 50.44554204323232, -104.6311353761523 50.44401167584846, -104.6311193909024 50.44243777987768, -104.6311172716316 50.44089990580998, -104.6311121449262 50.43956517893, -104.6306910732602 50.43956754495251, -104.6300155581757 50.43951141622976, -104.6297765979974 50.43945670886799, -104.629327294772 50.43928439040069, -104.6286545637638 50.43887755157309, -104.6284729053301 50.43869710857261, -104.6278126926711 50.43668947443348, -104.6277446474371 50.43639245658868, -104.627577553504 50.43614912132371, -104.6273958383619 50.43597764686228, -104.6271298673265 50.43577893303508, -104.626736821716 50.43562478631574, -104.6262589747129 50.43550634239645, -104.6258225462684 50.43549595753407, -104.6241606092338 50.43554454921502, -104.6233293535082 50.43560481387653, -104.6225034946601 50.43584031260776, -104.6213958204391 50.43615612998588, -104.6209867075122 50.43625374464055, -104.6196056753577 50.43638412960012, -104.6182819388666 50.43639778413635, -104.6182564500081 50.43606494338842, -104.6183023076838 50.43605411700823, -104.6180933363547 50.43594271554633, -104.6180964698756 50.43556639850483, -104.6180834422001 50.43490846867079, -104.6180808997058 50.43335309806432, -104.6180830981743 50.43187332368124, -104.6180833091806 50.43171643633359, -104.6180844188594 50.43132987379041, -104.6180880639665 50.43006472343902, -104.6180864141158 50.42982937244326, -104.6180764757515 50.42840404799788, -104.6196414545589 50.42840708022862, -104.6210493499093 50.4284026839341, -104.6224853774335 50.42840734169884, -104.6239637190284 50.42840313726299, -104.6253857412594 50.42839874223377, -104.626821803346 50.42839437394596, -104.6282578312448 50.42839894850599, -104.629067974949 50.42839227580713, -104.629679917887 50.42838549817469, -104.6298954527491 50.42836010323803, -104.6306964756085 50.42819367981055, -104.6314285847702 50.42801333188721, -104.633075083247 50.42717862278786, -104.6339720890327 50.42680725580553, -104.6349749298932 50.42639769501962, -104.6353127851663 50.42636176223066, -104.6369038347469 50.42635777758417, -104.6386561215058 50.42636202601151, -104.6409161642762 50.42636121527651, -104.6409168846317 50.42662468614369, -104.6417093564914 50.4265746162757, -104.6421441251183 50.42654713657564, -104.64279589714 50.42659001048542, -104.6432656177813 50.42662391086508, -104.6432628879109 50.42345810984087, -104.6432627922073 50.42336035967005, -104.6431914907342 50.41871725256455, -104.6431803163651 50.41798852965455, -104.6431902366208 50.41736702516472, -104.6432063319649 50.41701984436289, -104.6432740864269 50.41555967172287, -104.6438220688545 50.41387412552501, -104.6446439123673 50.4114577994368, -104.6444363404212 50.41091267000193, -104.6438475503432 50.40935751063702, -104.6434665782586 50.40543916131898, -104.6434672159747 50.40531758069548, -104.6434855105509 50.40200867023423, -104.6435052626863 50.39843250777771, -104.6440370498079 50.39833836687042, -104.6446954823809 50.39816494841352, -104.6456697152547 50.39786267351355, -104.6466751787501 50.39748612771038, -104.6474224333551 50.39716073663517, -104.6481499330479 50.39679641102969, -104.6594245694988 50.39677679831663, -104.6601398281999 50.39705698885133, -104.6614616903417 50.39758654149304, -104.66246732331 50.39815732982827, -104.6637999074284 50.39891366104533, -104.6671229317937 50.39719260847716, -104.6678652133376 50.39676289345707, -104.6867398046721 50.39673318160449, -104.6868280316389 50.42599921638347, -104.686857377049 50.43312600830664, -104.6868640545043 50.43419863121444, -104.6868831819804 50.4423309774563, -104.6868834682428 50.44300906674549, -104.6868835002734 50.4431162283021, -104.6868835233141 50.44320375540074, -104.686878739041 50.44359292830001, -104.6638988652631 50.44588834095263, -104.6508994330092 50.44718435463904, -104.6508550791099 50.44718828007528, -104.650630272948 50.44720809113318, -104.6506034940072 50.44721044166103, -104.64317093291 50.4479306809766, -104.6361138130077 50.44861398901892)))",453,98,3675.0,11345.0,1155.0,221573.0,7381.0,~17.8%,0.5,2.1914374745969383
